tokens,BIO
"['В', 'ЕС', 'ранее', 'отмечали', ',', 'что', 'смогли', 'достичь', 'прогресса', 'в', 'нескольких', 'технических', 'разделах', 'переговоров', 'о', 'Brexit', ',', 'но', 'остаются', 'серьезные', 'разногласия', 'в', 'вопросе', 'границы', 'с', 'Северной', 'Ирландией', '.']","['O', 'B-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'I-LOC', 'O']"
"['До', 'нового', 'назначения', 'Рааб', 'занимал', 'пост', 'руководителя', 'министерства', 'жилищного', 'строительства', '.']","['O', 'O', 'O', 'B-PER', 'O', 'O', 'O', 'B-ORG', 'I-ORG', 'I-ORG', 'O']"
"['Это', 'противоречит', 'позиции', '""', 'еароскептиков', '""', '-', 'жестких', 'сторонников', 'Brexit', ',', 'настаивающих', ',', 'среди', 'прочего', ',', 'на', 'введении', 'таможенных', 'пошлин', 'в', 'соответствии', 'с', 'тарифами', 'ВТО', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORG', 'O']"
"['Асия', 'Биби', 'был', 'приговорена', 'к', 'смертной', 'казни', 'в', '2010', 'году', '.']","['B-PER', 'I-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['<', '…', '>', 'Пакистан', '—', 'это', 'наша', 'страна', ',', 'мы', 'пакистанцы', ',', 'мы', 'не', 'считаем', 'Пакистан', 'плохим', ',', 'но', 'обвинения', ',', 'которые', 'касаются', 'христиан', ',', 'мне', 'кажутся', 'ошибочными', '»', ',', '—', 'добавил', 'он', '.']","['O', 'O', 'O', 'B-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PER', 'O', 'O', 'O', 'O', 'B-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Джонсон', 'в', 'преддверии', 'проведения', 'референдума', 'о', 'выходе', 'Британии', 'из', 'ЕС', 'в', '2016', 'году', 'считался', 'одним', 'из', 'самых', 'ярых', 'сторонников', 'этой', 'идеи', '.']","['I-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'O', 'B-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Последние', 'сказали', ',', 'что', 'не', 'могут', 'пить', 'из', 'общего', 'ведра', 'с', 'водой', 'после', 'того', ',', 'как', 'им', 'воспользовалась', 'Биби', ',', 'так', 'как', 'ее', 'вера', 'сделала', 'воду', '«', 'нечистой', '»', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['В', 'рамках', 'упомянутого', 'соглашения', 'правительство', 'Пакистана', 'также', 'должно', 'освободить', 'всех', ',', 'кто', 'был', 'арестован', 'в', 'течение', 'четырех', 'дней', 'протестов', ',', 'а', 'TLP', 'извинится', 'перед', 'всеми', ',', 'кому', 'доставили', '«', 'неудобство', '»', 'демонстрации', ',', 'организованные', 'партией', '.']","['O', 'O', 'O', 'O', 'O', 'B-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['В', 'Пакистане', 'не', 'казнят', 'христианку', ':', 'исламисты', 'жаждут', 'смерти', 'судей', 'Сегодня', ',', '31', 'октября', ',', 'Верховный', 'суд', 'Пакистана', 'освободил', 'местную', 'христианку', 'от', 'смертного', 'приговора', 'за', '""', 'богохульство', 'против', 'ислама', '""', ',', 'и', 'снял', 'обвинения', ',', 'что', 'вызвало', 'уличные', 'протесты', 'и', 'угрозы', 'со', 'стороны', 'ультрарадикалов', ',', 'а', 'также', 'одобрение', 'правозащитников', '.']","['O', 'B-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORG', 'I-ORG', 'I-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Хан', 'обещал', 'принять', 'решительные', 'меры', 'против', '""', 'провокаторов', '""', '.']","['B-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
