tokens,BIO
"['Я', 'голосовал', 'против', 'увольнения', 'Федутинова', ',', 'я', 'голосовал', 'против', 'увольнения', 'Павловой', ',', 'я', 'голосую', 'против', 'увольнения', 'Демина', '»', ',', '—', 'отмечает', 'Венедиктов', '.']","['O', 'O', 'O', 'O', 'B-PER', 'O', 'O', 'O', 'O', 'O', 'B-PER', 'O', 'O', 'O', 'O', 'O', 'B-PER', 'O', 'O', 'O', 'O', 'B-PER', 'O']"
"['Белоруссия', ',', 'Казахстан', ',', 'как', 'и', 'Россия', ',', 'борются', 'с', 'давлением', 'на', 'курс', 'национальных', 'валют', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['В', 'то', 'же', 'время', 'канцлер', 'подчеркнула', 'заинтересованность', 'в', 'дальнейшем', 'сотрудничестве', 'с', 'Москвой', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Спуск', 'корабля', 'с', 'орбиты', 'проходил', 'по', 'баллистической', 'траектории', ',', 'и', 'отклонение', 'от', 'расчётного', 'места', 'приземления', 'составило', 'более', '400', 'км', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Герой', 'Мураками', 'увлекается', 'западными', 'продуктами', ':', 'пищевыми', 'и', 'культурными', '.']","['O', 'B-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['И', 'куда', 'смотрит', 'ГПУ', '?']","['O', 'O', 'O', 'B-ORG', 'O']"
"['""', 'С', 'точки', 'зрения', 'законодательства', ',', 'если', 'мы', 'все-таки', 'будем', 'возвращаться', 'к', 'идее', 'саморегулирования', ',', 'то', 'только', 'по', 'одной', 'причине', ':', 'если', 'сама', 'отрасль', 'скажет', ',', 'что', 'подобного', 'рода', 'шаги', 'действительно', 'необходимы', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['1972-1984', '»', ',', 'составленный', 'Виктором', 'Курильским', 'и', 'Светланой', 'Бондаренко', '.']","['O', 'O', 'O', 'O', 'B-PER', 'I-PER', 'O', 'B-PER', 'I-PER', 'O']"
"['Первой', 'компанией', ',', 'получившей', 'совместную', 'поддержку', 'Microsoft', 'и', '«', 'Сколково', '»', 'общим', 'объемом', '3', 'млн', 'рублей', ',', 'стала', 'Speereo', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'B-ORG', 'O', 'O', 'B-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORG', 'O']"
"['Тогда', 'митинги', 'с', 'требованием', 'отставки', 'Саакашвили', 'длились', 'неделями', '.']","['O', 'O', 'O', 'O', 'O', 'B-PER', 'O', 'O', 'O']"
