tokens,BIO
"['По', 'данным', 'министерства', 'здравоохранения', 'Египта', 'на', '22', 'февраля', ',', 'в', 'результате', 'беспорядков', 'погибли', '384', 'человека', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Шульц', 'намерен', 'содействовать', 'более', 'глубокой', 'евроинтеграции', ',', 'а', 'также', 'преодолению', 'долгового', 'кризиса', 'в', 'зоне', 'евро', '.']","['I-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['В', 'настоящее', 'время', 'инициированы', 'проверки', 'в', 'отношении', 'деятельности', 'этого', 'учреждения', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Судя', 'по', 'всему', ',', 'непосредственно', 'перед', 'парламентской', 'кампанией', 'мы', 'узнаем', 'имя', 'кандидата', ',', 'а', 'до', 'этого', 'сохранится', 'интрига', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Голосование', 'проходило', 'в', 'открытой', 'форме', '.']","['O', 'O', 'O', 'O', 'O', 'O']"
"['Макарова', ',', 'окончил', 'Высшие', 'специальные', 'офицерские', 'классы', 'ВМФ', ',', 'Военно-морскую', 'академию', 'имени', 'Адмирала', 'Флота', 'Советского', 'Союза', 'Н', '.']","['I-ORG', 'O', 'O', 'B-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'B-ORG', 'O', 'B-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG']"
"[',', 'но', 'этой', 'суммы', 'не', 'хватает', 'примерно', 'в', 'десятки', ',', 'а', 'то', 'и', 'в', 'сотни', 'раз', '»', ',', '-', 'указывает', 'А', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PER', 'I-PER']"
"['Власти', 'страны', 'применяют', 'жесткие', 'меры', 'для', 'подавления', 'антиправительственных', 'выступлений', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Во', 'время', 'предвыборной', 'кампании', '2008', 'года', 'Хантсмен', 'был', 'одним', 'из', 'руководителей', 'штаба', 'Джона', 'Маккейна', 'и', ',', 'по', 'оценкам', 'экспертов', ',', 'именно', 'он', 'мог', 'стать', 'кандидатом', 'от', 'республиканцев', 'на', 'следующих', 'выборах', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'B-PER', 'O', 'O', 'O', 'O', 'O', 'B-PER', 'I-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['В', 'начале', 'августа', 'президент', 'США', 'заявил', ',', 'что', '""', 'шокирован', '""', 'действиями', 'сирийских', 'властей', ',', 'и', 'пообещал', 'и', 'впредь', 'оказывать', 'давление', 'на', 'администрацию', 'Асада', 'с', 'целью', 'заставить', 'его', 'уйти', 'в', 'отставку', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
